name,id,stripped_tweet,time
TorasRhToras,1625552498,"Φωτογραφίες βρασίματος σκόνης. Στην φρίμπα (free base-δεν το μάθατε από μένα) και ο κασιδιάρης. Το παληκάρι είναι άρρωστ…",1389963945
lifomag,54598058,"ΑΡΗΣ ΔΗΜΟΚΙΔΗΣ - Τελικά ξέρει κανείς γιατί είχε αφεθεί ελεύθερος ο Κασιδιάρης;: Οι νέες προφυλακίσεις (Καιάδας...",1389963524
oneinchmanGR,386755127,"Δικαιοσύνη είναι αυτό που τρώει 10 χρόνια κάποιος επειδή έκανε πλάκα με έναν τσαρλατάνο ερημίτη κ κυκλοφορεί ελεύθερος ο Κασ…",1389963190
elenacou,315185209,"Τελικά ξέρει κανείς γιατί είχε αφεθεί ελεύθερος ο Κασιδιάρης;",1389963150
elizabeth_5658,1277484403,"Ο Κασιδιάρης μήνυσε ανακρίτριες και εισαγγελέα. Νεύρα,πολλά νεύρα...",1389963001
eldiktyo,32207236,"Κασιδιάρης στο FlyFM 89.7: Χωρίς στοιχεία οι προφυλακίσεις των βουλευτών μας !",1389962593
kougiouta,260691666,"Με τόσες γνώσεις που έχει ο Κασιδιάρης για τα νεροπίστολα κ τις σφεντόνες δεν θα έπρεπε να είναι στη Βουλή αλλά στα Jumbo.…",1389960750
nickygtr,334181046,"Συνελήφθη ξανά ο Σακκάς, για αποτύπωμα σε γιάφκα, αλλά όχι ο Κασιδιάρης για τις αμέτρητες φωτογραφίες με όπλα...",1389959601
RedWoman5,899994559,"Σκοταδισμός,μισαλλοδοξία,εθνικισμός.Τί να το κάνω που ο Μιχαλολιάκος βρίσκεται στη ""μπουζού"" όταν οι ιδεοληψίες του κυβερνούν αυτήν τη χώρα;",1389959255
kanekos69,237719164,"ΚΑΘ ΟΔΟΝ ΓΙΑ ΤΗΝ ΤΟΥΡΚΙΑ, ΠΡΟΣΠΑΘΕΙΑ ΔΙΑΦΥΓΗΣ ΑΛΑ ΦΙΛΙΠΠΙΔΗ; Στην Αλεξ/πολη έρχονται Κασιδιάρης και Παναγιώταρο…",1389959117
